Année;Trimestre;Dernier jour du trimestre;Masse salariale à T+50 jours (brut);Masse salariale à T+70 jours (brut);Masse salariale à T+50 jours (cvs);Masse salariale à T+70 jours (cvs);Glissement trimestriel - Masse salariale à T+50 jours (cvs);Glissement trimestriel - Masse salariale à T+70 jours (cvs);Glissement annuel - Masse salariale à T+50 jours (cvs);Glissement annuel - Masse salariale à T+70 jours (cvs)
2004;4;2004-12-31;107954250846;107954250846;102477063591;102477066034;0.827383478;0.827405049;3.171195141;3.171213945
2005;2;2005-06-30;103762038876;103762038876;103901065961;103901054728;0.761195937;0.761151687;3.066293325;3.066282656
2005;3;2005-09-30;101779844987;101779844987;105123206820;105123171772;1.176254398;1.176231606;3.430928982;3.43091416
2006;1;2006-03-31;105596005238;105596005238;107453297383;107453332866;1.230776253;1.230794689;4.206079615;4.20607953
2007;3;2007-09-30;110569129295;110569129295;114487501811;114487448022;0.875470081;0.875459131;4.55334459;4.55333893
2008;3;2008-09-30;114554893615;114554893615;118719575141;118719518042;0.409826944;0.409825568;3.696537407;3.696536252
2008;4;2008-12-31;124714710386;124714710386;118747727489;118747844413;0.023713316;0.023859911;2.375473113;2.375486982
2009;1;2009-03-31;114865396659;114865396659;116836787694;116836768763;-1.609243255;-1.609356077;-0.92866931;-0.928679152
2010;2;2010-06-30;118940430015;118940430015;118661990247;118661955636;0.908476138;0.908451444;1.97036859;1.97038254
2010;4;2010-12-31;126420489434;126420489434;120452404711;120452468762;0.930610544;0.930715691;2.729916317;2.729889688
2011;4;2011-12-31;130528435956;130528435956;124452016029;124452050009;0.768737158;0.768818515;3.32049105;3.32046432
2013;2;2013-06-30;127945573371;127945573371;127270690730;127270658899;0.625267018;0.625217605;1.360628086;1.360601501
2014;1;2014-03-31;126816240966;126816240966;128703530985;128703575782;0.358123271;0.358138116;1.758127478;1.758138377
2014;4;2014-12-31;135742499306;135742499306;129948863519;129948790694;0.18756222;0.187565743;1.329186263;1.329109197
2016;1;2016-03-31;132230777784;132230777784;133778501526;133778684251;0.668269939;0.668620292;2.467022378;2.467109219
2016;3;2016-09-30;129928674904;129928674904;135001917880;135001271023;0.549426061;0.548373461;2.35934545;2.359053811
2019;3;2019-09-30;144529008180;144529008180;150068769334;150066961243;1.012756147;1.012199604;3.713010572;3.712140641
2020;1;2020-03-31;144849085599;144849085599;146202286620;146204222607;-3.179867687;-3.180035573;-0.113781463;-0.113560172
2020;3;2020-09-30;141020813360;141020813360;146648426646;146641176090;18.84532842;18.84113525;-2.279183539;-2.282837691
2020;4;2020-12-31;151030221309;151030221309;145666349850;145677342604;-0.6696811;-0.657273429;-3.534783264;-3.528948225
2022;1;2022-03-31;162012998480;162012998480;162434190103;162431920812;1.687340239;1.671482925;10.88117226;10.87922459
2022;4;2022-12-31;174964191633;174964191633;169804611209;169840269657;1.142465969;1.182498418;6.301384352;6.308612187
2023;2;2023-06-30;177119939545;177119939545;175449921293;175445101951;0.994496334;0.994567492;6.063713375;6.064211327
2024;2;2024-06-30;183067174772;183067174772;181284896134;181286221996;0.500697066;0.502329493;3.32572098;3.329314971
1997;3;1997-09-30;75043046917;75043046917;76910882422;76910885932;1.36356418;1.363568538;;
1999;4;1999-12-31;90270567975;90270567975;85217055460;85217057418;1.531981181;1.531987041;4.511810173;4.511814641
2000;2;2000-06-30;87833542526;87833542526;87861811533;87861814719;1.588301502;1.588302756;6.020284552;6.020284266
2000;4;2000-12-31;96378492844;96378492844;91140426976;91140423647;2.117675749;2.117673966;6.95092254;6.950916176
2001;2;2001-06-30;93323748926;93323748926;93392065696;93392069772;0.647074712;0.647073293;6.294263761;6.294264545
2001;3;2001-09-30;91428243233;91428243233;94229129432;94229132822;0.89628999;0.896289217;5.578391552;5.578397363
2002;1;2002-03-31;93425165787;93425165787;95780127777;95780137007;0.956875934;0.956896067;3.220649468;3.220653455
2002;2;2002-06-30;96401740850;96401740850;96523009875;96523015545;0.775611931;0.775608139;3.35247342;3.352474981
2002;3;2002-09-30;93909216519;93909216519;96820689567;96820696415;0.308402828;0.30840403;2.750274942;2.750278512
2005;4;2005-12-31;111738597909;111738597909;106146866952;106146882672;0.97377179;0.973820407;3.581097304;3.581110174
2006;2;2006-06-30;108281076821;108281076821;108414123068;108414098344;0.894179805;0.894123479;4.343610015;4.343597501
2006;3;2006-09-30;105876956607;105876956607;109501520262;109501474743;1.003003265;1.002984313;4.164935198;4.164926626
2007;2;2007-06-30;113338228572;113338228572;113493896701;113493855698;0.703796048;0.703749902;4.685527576;4.68551363
2009;4;2009-12-31;123181466196;123181466196;117251535901;117251628642;0.630167742;0.630294874;-1.259974923;-1.259994048
2010;3;2010-09-30;115084368649;115084368649;119341797362;119341736494;0.57289374;0.572871781;2.424117474;2.42411362
2011;1;2011-03-31;120280994511;120280994511;122247237403;122247249711;1.490076264;1.490032515;3.957319549;3.957334898
2011;2;2011-06-30;123417876413;123417876413;122971028647;122971015803;0.592071657;0.592051022;3.631355239;3.631374642
2012;2;2012-06-30;126138527660;126138527660;125562255418;125562256946;0.240929739;0.240905472;2.107184756;2.107196665
2012;4;2012-12-31;132612963502;132612963502;126585145319;126585183897;0.357292552;0.357393975;1.714017464;1.714020691
